cue_a,cue_b,spearman_r,high_overlap_flag
temporal_urgency_density_100w,transparency_supporting_density_100w,0.4980421097837419,0
fear_loss_framing_density_100w,temporal_urgency_density_100w,0.2215603305797652,0
coercive_cta_density_100w,transparency_supporting_density_100w,0.07095720759217251,0
coercive_cta_density_100w,scarcity_marking_density_100w,0.06672546784226659,0
coercive_cta_density_100w,temporal_urgency_density_100w,0.018279280973837405,0
coercive_cta_density_100w,fear_loss_framing_density_100w,0.008861503505954136,0
scarcity_marking_density_100w,transparency_supporting_density_100w,-0.0008688097306689834,0
certainty_guarantee_density_100w,scarcity_marking_density_100w,-0.0015061305685795624,0
certainty_guarantee_density_100w,transparency_supporting_density_100w,-0.0015061305685795624,0
scarcity_marking_density_100w,temporal_urgency_density_100w,-0.0017398850996811945,0
fear_loss_framing_density_100w,scarcity_marking_density_100w,-0.0019460962540665905,0
fear_loss_framing_density_100w,transparency_supporting_density_100w,-0.0019460962540665905,0
authority_evoking_density_100w,scarcity_marking_density_100w,-0.001946096548628024,0
authority_evoking_density_100w,transparency_supporting_density_100w,-0.001946096548628024,0
certainty_guarantee_density_100w,temporal_urgency_density_100w,-0.0030161887487472837,0
certainty_guarantee_density_100w,fear_loss_framing_density_100w,-0.0033736673913526993,0
authority_evoking_density_100w,certainty_guarantee_density_100w,-0.0033736679019915235,0
scarcity_marking_density_100w,superiority_performance_density_100w,-0.003497994000546024,0
superiority_performance_density_100w,transparency_supporting_density_100w,-0.003497994000546024,0
authority_evoking_density_100w,temporal_urgency_density_100w,-0.0038972680300112315,0
authority_evoking_density_100w,fear_loss_framing_density_100w,-0.004359172175040792,0
certainty_guarantee_density_100w,superiority_performance_density_100w,-0.006063969482562753,0
superiority_performance_density_100w,temporal_urgency_density_100w,-0.007005109894013198,0
fear_loss_framing_density_100w,superiority_performance_density_100w,-0.007835355407412738,0
authority_evoking_density_100w,superiority_performance_density_100w,-0.007835356593373357,0
certainty_guarantee_density_100w,coercive_cta_density_100w,-0.01978088954766094,0
authority_evoking_density_100w,coercive_cta_density_100w,-0.025559218888838022,0
coercive_cta_density_100w,superiority_performance_density_100w,-0.04594119155847033,0
scarcity_marking_density_100w,social_proof_density_100w,,0
fear_loss_framing_density_100w,social_proof_density_100w,,0
coercive_cta_density_100w,social_proof_density_100w,,0
authority_evoking_density_100w,social_proof_density_100w,,0
social_proof_density_100w,temporal_urgency_density_100w,,0
social_proof_density_100w,superiority_performance_density_100w,,0
social_proof_density_100w,transparency_supporting_density_100w,,0
certainty_guarantee_density_100w,social_proof_density_100w,,0
