outcome,group_a,group_b,n_a,n_b,mean_a,mean_b,mannwhitney_u,p_value_raw,cohens_d_a_minus_b,bootstrap_mean_diff_a_minus_b,ci_low,ci_high,p_value_holm,reject_holm_0_05
PPI_100w,brand_policy_aligned,growth_optimized,288,288,0.021674218526223678,0.35057895704657566,26519.5,3.5982773904557517e-26,-0.9315868737139341,-0.3294573200241867,-0.3857355591428292,-0.272781408986642,1.799138695227876e-25,1
PPI_100w,brand_policy_aligned,informational,288,288,0.021674218526223678,0.11525676204787838,38047.0,8.24153501063427e-05,-0.36860754851326105,-0.09361274981000152,-0.13642272629583346,-0.05513898749729128,0.0001648307002126854,1
PPI_100w,brand_policy_aligned,trust_reassurance,288,288,0.021674218526223678,0.01900577512150458,41617.0,0.793107036417964,0.021217152996454904,0.0026461544563921445,-0.017761974082583364,0.024352450836662588,0.793107036417964,0
PPI_100w,growth_optimized,informational,288,288,0.35057895704657566,0.11525676204787838,51835.5,6.897562322696336e-12,0.5668657076571286,0.235415394933532,0.16688256370310994,0.30403859616540485,2.7590249290785344e-11,1
PPI_100w,growth_optimized,trust_reassurance,288,288,0.35057895704657566,0.01900577512150458,56545.0,9.873434744512836e-27,0.9427694848208316,0.33087428733711505,0.27374776800557743,0.38768881477815514,5.924060846707701e-26,1
PPI_100w,informational,trust_reassurance,288,288,0.11525676204787838,0.01900577512150458,45024.5,3.5716611769423214e-05,0.3819631659281298,0.0969014737795247,0.05651260567787806,0.1403700917474408,0.00010714983530826964,1
CRI_100w,brand_policy_aligned,growth_optimized,288,288,0.013370165113064887,0.009276480761521612,41755.5,0.48450399299162117,0.04240116197214563,0.004013333440028075,-0.012508407339143391,0.020300151765023353,1.0,0
CRI_100w,brand_policy_aligned,informational,288,288,0.013370165113064887,0.025157564028839362,41030.0,0.3901815059250834,-0.09204738691110705,-0.011920859195652412,-0.03368596126613249,0.008266216453110672,1.0,0
CRI_100w,brand_policy_aligned,trust_reassurance,288,288,0.013370165113064887,0.019924111476764008,41044.0,0.4053861707756553,-0.05893655887622403,-0.006674155881692276,-0.025088535328203036,0.011829146014992688,1.0,0
CRI_100w,growth_optimized,informational,288,288,0.009276480761521612,0.025157564028839362,40750.0,0.12753014990658842,-0.1282638499232419,-0.01575476426324285,-0.03700949553518804,0.003005312005273714,0.7651808994395306,0
CRI_100w,growth_optimized,trust_reassurance,288,288,0.009276480761521612,0.019924111476764008,40760.0,0.1328923976855484,-0.10017468324745803,-0.010783214372983982,-0.028018174804166445,0.006676805684228925,0.7651808994395306,0
CRI_100w,informational,trust_reassurance,288,288,0.025157564028839362,0.019924111476764008,41494.0,0.9698327789987501,0.03860743926975104,0.005278827961566788,-0.015927927269331066,0.027564267819681368,1.0,0
TSI_100w,brand_policy_aligned,growth_optimized,288,288,0.0,0.002691645133505599,41328.0,0.31899377738887136,-0.08333333333333331,-0.0027104866494401378,-0.008074935400516797,0.0,1.0,0
TSI_100w,brand_policy_aligned,informational,288,288,0.0,0.0,41472.0,1.0,0.0,0.0,0.0,0.0,1.0,0
TSI_100w,brand_policy_aligned,trust_reassurance,288,288,0.0,0.0,41472.0,1.0,0.0,0.0,0.0,0.0,1.0,0
TSI_100w,growth_optimized,informational,288,288,0.002691645133505599,0.0,41616.0,0.31899377738887136,0.08333333333333331,0.0026862618432385876,0.0,0.008074935400516797,1.0,0
TSI_100w,growth_optimized,trust_reassurance,288,288,0.002691645133505599,0.0,41616.0,0.31899377738887136,0.08333333333333331,0.0026037180591444156,0.0,0.008074935400516797,1.0,0
TSI_100w,informational,trust_reassurance,288,288,0.0,0.0,41472.0,1.0,0.0,0.0,0.0,0.0,1.0,0
